Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
BDO MEDITERRANEE;343521225;11206608;6
IRIDIS MARSEILLE;423538644;14076192;41
ACCOPLAS SOCIETE GENERALE DE FERMETURES;070801568;12669299;9
2AE KIPING GENIE CLIMATIQUE ET MAINTENANCE;413972340;14702190;8
EMIS ACCESS;829472323;12751346;2
SECURITE INDUSTRIELLE;322043290;11973027;0
SINTO;410309033;11787568;9
ARKADIA ENERGY;752116145;12751209;0
NEXITY REGION SUD;351039193;14387240;-9
IPS IP-STAR;500315262;10358056;4
ISTAL ENERGIES;750116626;12214899;14
BAULI FRANCE;429844517;11093796;-5
ARBONA ET COMPAGNIE;385056601;10220157;0
THALES SESO SAS;399064963;12656000;-14
SOCIETE COOPERATIVE DU LAMANAGE DES PORTS DE MARSEILLE ET DU GOLFE DE FOS (ENTREPRISE MARITIME);058808015;14769836;7
SOLEAM SOCIETE LOCALE D'EQUIPEMENT ET D'AMENAGEMENT DE L'AIRE METROPOLITAINE (AIX-MARSEILLE-PROVENCE);524460888;12978006;-12
STE FINANCIERE DE LA MASA;331530253;12457634;78
RTM OUEST-METROPOLE;824064604;11387154;0
VIRIOT HAUTBOUT;400945705;12038445;-2
AUTOSELECT;384130407;11741529;0
ONET SERVICES INDUSTRIE;339111247;11591388;4
L'EAU DES COLLINES;792141053;14760254;0
CENTRE DE REEDUCATION PAUL CEZANNE;348086596;13411126;0
CARRIERES DU SUD OUEST;411076433;14165597;3
13 RECYCLAGE;482529831;14386455;3
FDP FRANCE DIFFUSION PARFUMS;417878527;11750593;2
HIGH CO;353113566;12084000;164
TEAM-IT;807635461;12804804;6
TRANSCARGO;394277479;13773574;0
DSD;488070806;13870474;1
SOVICAR;343798955;13333263;2
FACT;325089092;11084089;3
CEJIP SECURITE;404114175;13176389;1
DIOXYTECH ENGINEERING;792844938;13888112;-21
MGM MOULAGE GENERAL MERIDIONAL;058802547;14500072;1
EVEN MEDIA INTERACTIVE;424818615;14474496;0
ENERGETIQUE SANITAIRE;788139913;10658255;4
LUTRY;808263560;14970825;2
MUSE;878760495;11658405;16
CITAIX;393340401;14938267;-1
SEALSQ FRANCE;523966182;10518704;-86
IMAGERIE DE CLAIRVAL;424800134;13525542;7
INTERFIT FRANCE SAS;321318982;14482574;2
CMT BATIMENT;824968796;14678067;2
MARSEILLE STORE;349332866;13402425;6
LAGOONA;483872875;12616153;1
CAPSTAN PYTHEAS;495125478;10252443;4
BLI CO BLI DBP;392127635;10050660;-1
LSF;508944261;12302393;1
SYSTEREL;440146504;11589545;4
SOCIETE NOUVELLE UNIPORT;318135050;10890713;8
HID TEXTILE SERVICES SARL;819552514;13285005;-15
PARLYM;400131116;12850155;102
FOURNITEC;380028548;10598596;3
OLEA MEDICAL;505251355;11004626;4
SUD CONCERTS;500825773;14392291;1
NEXTALK;535288823;13689873;7
ARCADE-VYV PROMOTION SUD-EST;904925864;11362091;24
SPEED FRANCE;809065600;14870757;0
HENRY BLANC;317785236;14844635;3
LES CHAUX DE LA TOUR;572621142;13199312;-14
FOSELEV PROVENCE;444816110;10217238;3
ACASS;484574587;11585345;1
BEUCHAT INTERNATIONAL SA;309719292;12269833;4
L.V.M.E;522862689;12558871;4
TONER SERVICES;400244216;10816021;-5
SABATIER SAS;636780330;12982726;8
AIX MARSEILLE PROVENCE;894022946;11433800;11
ADAM CONCERTS;491630521;12949648;5
EUROLINKS - SIPR DEFENSE;387677941;14235374;-14
TENERGIE GESTION;522076983;13199918;-25
+SIMPLE.FR;810992792;13605473;-147
LES PUBLICATIONS COMMERCIALES;056806854;14598818;26
ROYAL SCANDINAVIA HOTEL MARSEILLE;440985943;11276803;0
SOBOMA;062803762;11566989;-4
LES PRIMEURS MARSEILLAIS;432806701;12343425;2
PROMAT;345224281;14242378;1
MY RHNET ICRHNET;434173415;14507668;6
SAFECO;414146100;12528723;2
INFOCOM - FRANCE;495255838;10263623;7
MASSIBAT;438943193;10817906;1
PROCLAIR;306018193;10632504;4
SDTC SOCIETE POUR LE DEVELOPPEMENT TOURISTIQUE DE CASSIS;352640262;13280448;12
ASTRADA;348750951;10333771;-2
VIALTIS;325176014;13934784;15
ONET TECHNOLOGIES;451327506;13351729;0
MAINTENANCE THERMIQUE;348083445;10931085;-5
BSL STEEL;498672575;13121689;2
TOURING UTILITAIRES;913340816;12106548;-3
IGOL PROVENCE;581621331;12421010;-4
HOTEL ASTOR;803348853;13575513;7
ECP DIGITAL SERVICES;530043934;10946285;6
RS.DISTRI;903152486;11425279;0
LES COMPAGNONS DE CASTELLANE;414588640;11306507;4
DEVELOPPEMENT DES FOYERS DE PROVINCE;439517889;16209979;-48
M.C.C.;385081161;15512345;2
CERESINE SASU;055801849;15952650;-2
TIVOLI CAPITAL WL;823840780;15235918;5
SAINTMAR;823147145;17295097;-1
GRECA;328759303;15419725;5
ACPQUALIFE;442642625;15424449;1
L' AGENCE TELECOM;492563218;15922896;0
Résultats Trouvés;292294292;Non disponible;Non disponible
CLINIQUE CHANTECLER;066803677;16598477;5
DELAGARDE COMPAGNONS FACADIERS;400023172;17862132;7
HOLDING DK;423099399;15670262;200
FRANCE ARROSAGE;322407271;16779274;3
MARDIS;398635821;17928856;-1
ONET ACCUEIL;338454556;17303824;-3
MAILINBLACK;449002104;16662636;19
BERTO MEDITERRANEE;389784786;16370753;-0
GRAND SUD INDUSTRIES;340772946;16214685;3
ELECTRO SUD-EST;432999035;18632146;4
SILOSUN DEVELOPPEMENT;794170332;21684594;3
AIDADOMI;491200309;20391626;0
CORDERIE DOR;054803622;22906591;2
CLINIQUE GENERALE DE MARIGNANE;711621029;24146784;11
PMSM PMS MEDICALISATION;487681520;22177279;4
EES - INFRA MEDITERR EIFFAGE ENERGIE SYSTEMES - INFRA MEDITERRANEE;328518097;29735340;3
COMPAGNIE DAHER;054807284;29866380;21
ALPHA SERVICES;378762157;29282040;6
EMTS SAUVETAGE;821735073;25215040;23
ESLC PROVENCE;490924271;27683417;2
SA QUINCAILLERIE D'AIX;389557208;30043434;-2
SEA TPI;403519689;32698826;3
FRANCE ACHAT INTERNATIONAL;404066524;33873671;1
EGCI PILLARD FIVES PILLARD;055809255;41419311;5
GSF PHOCEA;384983482;49140816;3
KAPORAL;499454874;51232568;-9
KLANIK;538388919;57209952;6
DADDI SRI;333747475;58563940;14
LA PHOCEENNE DE DISTRIBUTION;388895534;15293256;1
NOE CONCEPT;512650110;18691029;5
AZURCONNECT TECHNOLOGIES;814592192;23983149;-32
LOMATRANS LOCATION MANUTENTION TRANSPORTS;306159021;22294350;5
COMPAGNIE FINANCIERE DE L'ORIOL;802173294;21666044;45
CABLERIE SAINT ANTOINE;313721631;23706430;8
Résultats Trouvés;130944000;Non disponible;Non disponible
CCEI;403521693;18778418;28
STUDIA SOLUTIONS;351413695;15900954;-19
O.P.A.DISTRIBUTION;415190297;18734662;1
EUROTRADE FISH;450511712;41585073;1
INTELOG;521602342;11667146;4
CONSULTING UP;849199369;11537118;-2
ECF SERVICES;333121226;10707359;4
EUROFINS ATS;337617963;12030399;2
CITYWAY;438350480;12446748;-49
MARJAC;387529845;14842005;3
G-STAR RETAIL FRANCE SAS;522381847;10883817;3
EITAN MEDICAL FRANCE S.A.S.;848063905;11757801;2
SDTC SOCIETE DEVELOPPEMENT TOURISTIQUE CARRY;782712673;11096717;12
GISONE BETON VIBRE;071800627;11430150;5
SURDIS SURGELES DISTRIBUTION;316057728;11988770;1
BROYAGE DU MIDI ET DE LA MEDITERRANEE;418097408;12451089;3
IMPRIMERIE CARACTERE;392658134;12515462;5
ENOGIA;514692045;12564749;1
SOGITEC;377673793;13825593;3
ORTEC EXPANSION;385123161;14446000;251
FRIEDLANDER BSL;799549985;10718580;6
D.P.L.;442138863;10712775;-13
CLOVAJE;808443477;14601139;5
EUROFINS PATHOLOGIE;433406477;13890104;-17
PLEINAIR CASINO;058805003;13671858;11
VINCI ENERGIES FRANCE INFRAS MEDITERRANEE CENTRE-EST;814564712;14156290;1
MARLIT;530849264;12221275;2
TECHNIPIPE;353304728;10250663;0
CLINIQUE DE LA POINTE ROUGE;347979668;10921348;11
HOLTEX;319625125;14462054;-1
PALUMBO SUPERYACHTS MARSEILLE;800219537;17339981;5
ALDIS;902892850;10694178;4
LASER PROPRETE;307509810;13510784;-18
SUPECO;387528904;10884277;6
SABENA TECHNICS MRS;420378069;14435404;-187
UIF MEDITERRANEE;889862173;12512335;19
RJ INTERNATIONAL SA;313752610;10248540;-1
ISOLBAT MARSEILLE;492026380;13988757;6
SOCIETE DE MANAGEMENT SECURITE ET ACCUEIL;908507155;10138695;-0
PBA PRO BUREAU AMENAGEMENT;353085525;10010349;1
SOLOMAT SOCIETE DE LOCATION DE MATERIELS;309459121;14868157;0
ADF ENVIRONNEMENT;417499787;12074380;4
GERTRUDE 26;505037010;11502542;11
FL SABLIERE;844363499;12979203;11
PAYSAGES MEDITERRANEENS;439610858;10307299;3
BOVALAUR;350678652;14093107;1
AMENTUM IDC SARL;382866382;12346776;9
